person_id,dept_id,start_date,end_date,is_current
545736c9-d694-4256-a0d3-faf64b450524,091925,2010-02-01,2014-06-09,False
82eadb5d-20db-4aec-9c03-5f89a6f1d3dc,091925,1993-11-24,2010-12-29,False
97e87ca6-e873-4cc6-a648-163fd1ea119a,091925,1990-02-07,1997-11-27,False
e5866524-d47a-4653-aef0-51d95282fb3c,091925,1996-12-21,2019-12-25,False
7c6f47fb-e28e-4139-9ece-41a8e7508ec2,091925,1998-01-25,2003-08-28,False
f5d1e7b5-03f5-42e1-af46-369cdd9a3f12,091925,1996-06-04,1998-10-08,False
6a771ed9-d8c4-47b3-ab5b-cee9d8a6d7f8,091925,2001-10-09,2002-12-27,False
7c2bc379-bae4-4ccb-8b5d-05544e19e2fb,091925,2019-07-03,2019-12-31,False
edb121c5-fa80-4d57-9a8f-a572f05a94bd,091925,1996-12-03,1998-12-28,False
e77aac26-edc6-4f53-acf4-6817105d22ee,091925,1992-04-28,1995-11-30,False
31173202-68e1-441c-838d-48eace25c539,091925,2016-06-06,,True
98c9e0e5-d4f0-486f-bcff-55b2ce8be147,091925,2012-11-21,,True
40bc30de-97c2-441e-a935-472ea73b1de6,091925,1995-08-13,,True
196dcc3e-3d3c-4256-b7cc-61eabe635d6c,091925,2014-01-08,2014-07-21,False
56597db3-16ba-49ab-be78-ac6f27d65dc4,091925,1996-10-29,,True
6e74bcd4-e9df-4a72-9de2-cbf5d1a5cf2b,091925,2002-11-15,2006-12-20,False
e0c67d00-e10c-4561-9f0b-c6e33ea28a6b,091925,2007-09-09,,True
7668508e-680f-4d69-8e0c-aadf376ca2ec,091925,2002-06-08,2006-11-24,False
dcc617f7-9b1b-4d9d-a533-e1fedb815415,091925,1991-02-05,,True
a5351080-c264-4271-b4a6-de2e0ad43219,091925,2009-02-13,,True
71e5dd1b-6553-4db7-ab83-f5bd6cf42993,091925,2007-01-22,,True
29ecdbbf-1a16-401e-b906-ed928424dd2b,091925,2014-11-11,2014-12-25,False
688ab432-b6f0-475c-970e-8a519eb62d5e,091925,1990-12-29,,True
a55f6d55-a5e6-4d88-8668-ac4d328b9a20,091925,1993-11-10,2019-12-15,False
09e23ee4-cc60-41d5-84d3-4d47262f8594,091925,1995-09-28,,True
7426cb11-654b-4df7-aee7-d40f0125f0bc,091925,2005-01-04,,True
753b4ef6-3475-4aa1-8b86-016cb09f8376,091925,1997-01-08,,True
fe79b26e-2605-43bb-887b-d74f3939c2c9,091925,2016-02-25,2017-05-31,False
73a38845-4157-48bd-bc89-c886b298687c,091925,2007-03-09,,True
